ts,value
2019-06-26 11:00:00,471.1969444
2019-06-26 12:00:00,487.97666669999995
2019-06-26 13:00:00,473.5019444
2019-06-26 14:00:00,457.28138889999997
2019-06-26 15:00:00,450.76805559999997
2019-06-26 16:00:00,461.6705556
2019-06-26 17:00:00,448.3927778
2019-06-26 18:00:00,431.57583330000006
2019-06-26 19:00:00,398.9075
2019-06-26 20:00:00,356.4358333
2019-06-26 21:00:00,330.3172222
2019-06-26 22:00:00,333.1138889
2019-06-26 23:00:00,328.9102778
2019-06-27 00:00:00,326.7441667
2019-06-27 01:00:00,319.02666669999996
2019-06-27 02:00:00,317.7566667
2019-06-27 03:00:00,316.3138889
2019-06-27 04:00:00,320.58166669999997
2019-06-27 05:00:00,326.66805560000006
2019-06-27 06:00:00,342.7572222
2019-06-27 07:00:00,374.9827778
2019-06-27 08:00:00,407.42805560000005
2019-06-27 09:00:00,433.4588889
2019-06-27 10:00:00,448.555
2019-06-27 11:00:00,455.4152778
2019-06-27 12:00:00,450.0175
2019-06-27 13:00:00,432.8919444
2019-06-27 14:00:00,433.80861110000006
2019-06-27 15:00:00,424.91083330000004
2019-06-27 16:00:00,243.4061111
2019-06-27 17:00:00,27.35694444
2019-06-27 18:00:00,410.5647222
2019-06-27 19:00:00,386.10805560000006
2019-06-27 20:00:00,344.8711111
2019-06-27 21:00:00,323.29055560000006
2019-06-27 22:00:00,334.4422222
2019-06-27 23:00:00,335.0286111
2019-06-28 00:00:00,334.1341667
2019-06-28 01:00:00,319.2805556
2019-06-28 02:00:00,320.1322222
2019-06-28 03:00:00,319.2566667
2019-06-28 04:00:00,324.9427778
2019-06-28 05:00:00,333.2333333
2019-06-28 06:00:00,350.09583330000004
2019-06-28 07:00:00,376.9066667
2019-06-28 08:00:00,410.0922222
2019-06-28 09:00:00,435.50138889999994
2019-06-28 10:00:00,457.6
2019-06-28 11:00:00,462.83361110000004
2019-06-28 12:00:00,459.74138889999995
2019-06-28 13:00:00,448.4077778
2019-06-28 14:00:00,432.7694444
2019-06-28 15:00:00,421.40638889999997
2019-06-28 16:00:00,425.36638889999995
2019-06-28 17:00:00,424.16833330000003
2019-06-28 18:00:00,420.9447222
2019-06-28 19:00:00,391.9958333
2019-06-28 20:00:00,349.4388889
2019-06-28 21:00:00,330.1505556
2019-06-28 22:00:00,331.1816667
2019-06-28 23:00:00,331.4813889
2019-06-29 00:00:00,327.6672222
2019-06-29 01:00:00,321.2338889
2019-06-29 02:00:00,320.3686111
2019-06-29 03:00:00,335.93042210000004
2019-06-29 04:00:00,353.9883333
2019-06-29 05:00:00,364.62944439999995
2019-06-29 06:00:00,374.8811111
2019-06-29 07:00:00,391.34138889999997
2019-06-29 08:00:00,423.8347953
2019-06-29 09:00:00,458.52361110000004
2019-06-29 10:00:00,478.25388889999994
2019-06-29 11:00:00,490.0294444
2019-06-29 12:00:00,486.5430556
2019-06-29 13:00:00,471.6322222
2019-06-29 14:00:00,457.92300880000005
2019-06-29 15:00:00,443.23388889999995
2019-06-29 16:00:00,439.9155556
2019-06-29 17:00:00,439.3072222
2019-06-29 18:00:00,421.9333333000001
2019-06-29 19:00:00,391.1472222
2019-06-29 20:00:00,355.5525
2019-06-29 21:00:00,328.83444439999994
2019-06-29 22:00:00,331.2191667
2019-06-29 23:00:00,338.0805556
2019-06-30 00:00:00,336.8833333
2019-06-30 01:00:00,329.5577778
2019-06-30 02:00:00,325.46
2019-06-30 03:00:00,335.5536111
2019-06-30 04:00:00,350.9441667
2019-06-30 05:00:00,369.9952778
2019-06-30 06:00:00,379.0152778
2019-06-30 07:00:00,394.2625
2019-06-30 08:00:00,421.51833330000005
2019-06-30 09:00:00,456.09027779999997
2019-06-30 10:00:00,480.56333330000007
2019-06-30 11:00:00,500.4297222
2019-06-30 12:00:00,494.6927778
2019-06-30 13:00:00,479.0672222
2019-06-30 14:00:00,480.5722222
2019-06-30 15:00:00,475.78583330000004
2019-06-30 16:00:00,480.0594444
2019-06-30 17:00:00,479.7525
2019-06-30 18:00:00,451.08055559999997
2019-06-30 19:00:00,407.7266667
2019-06-30 20:00:00,362.80805560000005
2019-06-30 21:00:00,333.2416667
2019-06-30 22:00:00,335.6983333
2019-06-30 23:00:00,334.6475
2019-07-01 00:00:00,326.38444439999995
2019-07-01 01:00:00,311.8047222
2019-07-01 02:00:00,305.4416667
2019-07-01 03:00:00,300.5280556
2019-07-01 04:00:00,305.47583330000003
2019-07-01 05:00:00,320.2813889
2019-07-01 06:00:00,332.0438889
2019-07-01 07:00:00,360.5108333
2019-07-01 08:00:00,399.3125
2019-07-01 09:00:00,422.58
2019-07-01 10:00:00,448.2861111
2019-07-01 11:00:00,469.95833330000005
2019-07-01 12:00:00,481.3552778
2019-07-01 13:00:00,464.525
2019-07-01 14:00:00,443.9527778
2019-07-01 15:00:00,443.54166669999995
2019-07-01 16:00:00,451.8230556
2019-07-01 17:00:00,450.3302778
2019-07-01 18:00:00,432.7525
2019-07-01 19:00:00,392.2447222
2019-07-01 20:00:00,353.5538889
2019-07-01 21:00:00,345.1002778
2019-07-01 22:00:00,350.0827778
2019-07-01 23:00:00,343.8308333
2019-07-02 00:00:00,339.2616667
2019-07-02 01:00:00,326.3566667
2019-07-02 02:00:00,320.4580556
2019-07-02 03:00:00,319.5322222
2019-07-02 04:00:00,323.40972220000003
2019-07-02 05:00:00,334.5305556
2019-07-02 06:00:00,353.1877778
2019-07-02 07:00:00,380.4911111
2019-07-02 08:00:00,417.2647222
2019-07-02 09:00:00,441.90861110000003
2019-07-02 10:00:00,468.5544444
2019-07-02 11:00:00,481.76916669999997
2019-07-02 12:00:00,465.6052778
2019-07-02 13:00:00,454.18361110000006
2019-07-02 14:00:00,442.72416669999996
2019-07-02 15:00:00,436.8072222
2019-07-02 16:00:00,444.78333330000004
2019-07-02 17:00:00,455.4344444
2019-07-02 18:00:00,439.7975
2019-07-02 19:00:00,396.22833330000003
